Gender,Age,Annual Income (k$),Spending Score (1-100)
Female,27,35,19
Female,52,54,45
Female,43,56,58
Female,56,86,17
Female,20,63,55
Male,55,30,27
Female,18,81,58
Male,34,77,100
Female,44,63,47
Female,41,85,22
Male,53,89,56
Female,18,50,62
Male,40,36,26
Male,55,60,5
Female,39,74,26
Female,22,57,48
Female,52,34,38
Female,29,64,78
Female,27,15,63
Female,25,52,52
Male,36,82,5
Male,41,84,66
Female,21,15,100
Female,23,55,72
Female,29,76,33
Male,25,29,46
Male,39,50,62
Male,43,92,86
Male,41,47,31
Male,41,102,38
Male,62,41,49
Male,44,97,46
Female,49,61,70
Female,33,37,56
Female,52,97,14
Female,32,28,33
Female,44,39,33
Female,19,73,1
Female,41,62,74
Female,25,67,53
Female,51,50,36
Male,51,29,73
Female,32,43,57
Male,67,95,16
Male,34,25,65
Female,18,103,85
Male,27,68,46
Female,24,44,48
Female,44,15,52
Male,21,15,18
Male,31,51,53
Male,43,48,27
Male,40,63,50
Female,38,105,54
Female,40,74,63
Male,33,57,64
Female,18,92,26
Male,33,64,55
Female,45,102,74
Male,36,42,20
Male,44,30,95
Female,30,15,25
Male,52,57,92
Female,18,28,25
Female,40,27,48
Male,57,87,45
Female,59,15,14
Female,35,63,68
Female,20,58,69
Male,57,62,66
Male,38,96,43
Male,36,38,32
Female,26,96,78
Female,21,15,55
Female,46,77,30
Male,48,99,55
Male,41,15,6
Female,28,59,52
Female,23,57,67
Female,18,62,45
Male,31,105,68
Female,24,40,71
Male,18,29,57
Female,47,62,95
Female,20,90,85
Female,52,75,66
Female,44,61,59
Female,42,54,43
Male,62,15,33
Female,20,75,70
Male,51,79,45
Female,34,42,24
Male,70,48,29
Female,33,33,32
Female,31,83,95
Female,44,50,72
Male,35,56,51
Female,28,77,60
Female,25,69,63
Male,59,75,27
Male,22,65,20
Female,41,65,77
Male,53,65,15
Male,54,72,49
Female,30,73,31
Female,35,28,55
Female,33,44,43
Male,18,55,63
Female,46,72,1
Female,39,102,79
Female,58,39,69
Female,27,83,76
Male,54,45,73
Female,55,96,58
Female,39,110,33
Female,18,15,61
Female,31,51,57
Male,63,15,72
Female,42,16,66
Female,48,17,52
Female,37,76,61
Female,35,72,63
Female,18,81,78
Male,49,76,95
Male,53,73,65
Male,25,63,63
Male,36,57,44
Female,34,87,41
Female,44,60,31
Female,31,74,1
Female,51,15,28
Female,39,29,45
Male,18,86,42
Male,45,43,61
Female,52,23,29
Female,22,77,30
Male,44,60,1
Male,64,49,62
Female,40,100,27
Female,54,95,31
Female,32,55,64
Female,38,79,27
Male,35,15,60
Female,33,89,19
Male,36,32,49
Female,18,22,34
Male,34,15,43
Female,57,15,89
Female,25,88,7
Female,23,77,86
Female,39,40,26
Female,40,83,72
Female,44,44,77
Female,37,69,61
Female,39,47,18
Female,33,57,57
Male,21,36,100
Female,37,40,50
Male,48,74,47
Male,46,79,45
Male,18,49,63
Female,42,20,47
Female,26,125,57
Male,58,61,42
Female,43,68,23
Male,51,27,100
Male,39,92,47
Male,37,96,100
Male,59,15,61
Male,52,57,65
Female,40,55,42
Female,36,123,34
Female,18,98,42
Female,43,22,28
Female,37,41,26
Female,46,37,96
Female,50,70,70
Female,56,101,88
Male,43,63,79
Female,24,73,34
Female,18,43,10
Male,27,73,38
Male,57,48,52
Female,64,17,79
Female,35,71,48
Female,18,60,100
Female,29,31,39
Female,54,103,65
Female,30,40,34
Female,47,76,60
Male,41,51,46
Male,48,101,43
Male,64,54,34
Female,47,16,54
Female,40,81,71
Female,65,100,25
Male,43,49,48
Female,27,78,62
Male,48,63,67
Female,45,50,98
Female,34,82,65
Female,31,39,39
Female,34,61,35
Female,31,67,35
Male,35,66,33
Male,27,40,55
Female,44,114,61
Male,43,93,71
Female,43,86,67
Male,37,98,82
Female,36,62,32
Male,58,50,92
Male,39,31,33
Female,56,42,59
Female,24,33,45
Male,47,46,49
Male,28,67,67
Female,31,84,13
Male,33,83,28
Female,32,29,69
Male,32,78,50
Female,55,90,43
Female,39,53,21
Female,41,92,43
Female,32,83,67
Male,50,27,35
Female,43,118,85
Male,34,41,78
Female,18,85,41
Female,41,84,34
Male,46,28,1
Female,25,65,22
Female,34,84,20
Female,46,28,13
Female,18,63,49
Female,29,86,58
Female,44,88,97
Female,54,50,51
Female,69,101,1
Female,66,94,30
Female,40,66,65
Male,32,43,48
Male,51,29,72
Female,31,70,36
Female,28,99,79
Female,34,56,56
Male,32,37,57
Female,44,82,54
Female,30,65,30
Female,40,74,48
Male,61,46,57
Male,40,50,14
Female,60,46,52
Male,55,73,81
Male,47,51,61
Female,33,76,85
Female,53,44,60
Female,35,73,27
Female,38,79,70
Female,43,69,20
Male,38,84,44
Male,28,47,43
Male,18,78,32
Male,52,66,100
Female,46,39,48
Female,18,15,96
Female,28,16,59
Female,41,15,29
Female,45,71,39
Female,18,52,49
Female,37,62,41
Female,46,55,43
Female,33,75,65
Male,42,76,59
Female,32,61,68
Male,51,63,89
Female,27,64,38
Female,22,97,78
Male,39,15,86
Male,18,42,83
Female,18,83,4
Female,53,89,96
Male,25,71,33
Female,20,55,2
Female,27,109,95
Female,26,65,63
Male,36,61,64
Female,23,95,41
Female,45,73,54
Male,47,85,46
Female,21,88,34
Female,30,50,50
Male,31,106,53
Female,36,15,16
Female,53,15,51
Female,54,42,4
Female,70,49,99
Male,18,70,47
Male,25,42,22
Male,64,60,63
Female,18,55,30
Male,63,113,49
Male,40,39,61
Female,41,16,23
Female,20,89,100
Female,32,41,100
Female,63,58,36
Female,38,43,21
Female,32,79,36
Female,44,24,37
Male,36,15,78
Female,43,94,36
Female,26,67,20
Female,37,88,52
Male,29,93,11
Male,18,36,77
Female,45,62,65
Male,21,73,34
Female,36,57,37
Female,51,52,56
Male,18,54,21
Male,47,89,29
Male,34,53,44
Male,25,76,16
Female,67,69,38
Female,38,35,22
Male,30,68,87
Female,27,20,39
Female,51,71,25
Male,30,83,67
Female,49,90,33
Female,38,35,21
Male,54,46,73
Male,24,68,41
Female,26,48,71
Female,34,15,49
Male,36,46,53
Female,33,67,64
Female,70,88,33
Male,67,104,29
Female,43,63,81
Female,44,75,65
Male,35,85,48
Female,24,15,70
Female,36,33,64
Male,49,63,74
Male,57,101,20
Female,52,77,48
Female,18,69,79
Female,34,54,93
Female,18,71,36
Female,55,44,54
Male,33,40,50
Female,38,42,18
Female,45,95,42
Male,70,38,9
Male,42,50,45
Male,35,72,23
Male,21,37,54
Female,59,66,42
Male,36,66,41
Female,61,44,90
Female,54,53,52
Male,32,35,98
Female,19,96,61
Female,42,67,71
Male,30,33,27
Female,39,63,32
Male,53,65,50
Male,18,15,81
Female,42,95,40
Female,49,34,13
Male,50,115,60
Male,19,81,51
Male,44,30,35
Male,55,52,40
Female,43,84,27
Female,37,54,74
Female,54,91,50
Female,29,50,56
Male,18,58,34
Female,36,85,84
Male,46,76,55
Male,53,36,1
Male,46,71,62
Female,50,64,43
Male,53,36,45
Female,34,24,75
Male,36,15,52
Male,56,52,94
Female,21,59,52
Male,44,73,38
Female,28,82,3
Female,54,49,31
Male,38,58,41
Female,38,40,88
Male,63,62,38
Female,23,85,92
Female,41,63,20
Female,36,91,30
Male,46,85,79
Female,65,98,34
Female,30,63,78
Male,22,46,28
Female,27,76,31
Female,35,50,66
Male,39,76,29
Female,40,43,43
Female,64,38,60
Male,61,92,43
Female,57,33,35
Female,70,87,19
Male,50,75,87
Male,54,63,92
Female,50,15,58
Male,47,99,44
Male,44,36,45
Female,33,85,71
Female,21,42,76
Female,37,40,36
Male,46,78,77
Female,39,74,66
Male,23,30,77
Female,36,98,8
Female,35,55,39
Female,37,62,45
Male,45,52,38
Male,48,31,99
Female,31,79,39
Female,52,68,62
Male,54,39,54
Male,43,85,42
Male,48,62,31
Female,52,62,100
Female,23,107,44
Female,53,18,72
Male,27,17,49
Male,29,23,38
Male,41,70,52
Female,18,51,58
Female,41,53,38
Female,52,35,30
Female,18,104,62
Female,54,113,53
Male,29,84,33
Male,41,20,25
Female,31,47,59
Female,46,82,1
Female,53,59,43
Female,47,84,53
Female,38,93,95
Male,32,110,50
Male,37,43,42
Female,48,62,57
Female,48,48,31
Male,46,15,44
Female,20,78,50
Male,38,75,66
Female,30,46,32
Female,48,18,50
Female,28,50,3
Female,45,79,63
Male,34,95,44
Female,18,41,98
Male,51,89,59
Male,38,76,27
Female,56,71,21
Female,18,26,67
Female,34,27,96
Male,35,38,88
Female,42,51,18
Female,20,107,55
Male,46,43,79
Female,65,80,15
Female,45,48,76
Male,40,72,32
Female,19,58,44
Female,28,65,57
Male,38,70,77
Male,31,54,89
Male,53,70,41
Female,46,92,37
Male,70,40,36
Male,25,91,70
Male,39,53,75
Female,19,50,73
Female,18,78,57
Male,48,51,59
Female,45,68,44
Male,26,66,46
Male,40,15,72
Female,30,71,57
Male,31,22,37
Female,34,24,78
Male,26,70,34
Female,28,74,53
Male,29,92,18
Female,44,31,25
Female,18,41,50
Female,35,72,32
Female,23,92,44
Female,24,65,81
Female,31,37,46
Female,38,100,73
Female,35,53,30
Female,23,54,64
Male,48,22,24
Female,26,79,43
Male,28,82,65
Male,42,42,50
Female,43,106,74
Female,30,45,67
Female,18,76,42
Male,26,66,83
Female,41,15,61
Female,48,74,43
Female,37,72,53
Male,32,15,52
Male,70,100,55
Male,33,72,46
Male,47,93,59
Female,20,15,70
Male,23,49,61
Male,47,91,60
Male,53,19,47
Female,33,50,27
Male,18,71,21
Female,36,15,31
Female,41,25,39
Female,40,96,93
Male,30,62,82
Female,36,91,34
Female,28,65,61
Female,23,125,48
Male,49,72,56
Male,40,93,36
Female,36,54,100
Female,31,66,98
Male,36,77,42
Male,41,81,34
Female,62,59,74
Male,47,60,18
Female,29,73,72
Female,29,73,53
Female,27,33,13
Male,36,66,46
Female,27,68,33
Female,45,34,54
Male,18,84,51
Male,46,71,15
Female,42,121,41
Male,56,59,65
Male,51,90,69
Male,29,74,40
Male,49,111,62
Female,36,35,57
Female,18,47,48
Female,41,35,62
Male,30,58,26
Female,38,31,50
Female,61,20,8
Female,41,15,48
Female,24,15,86
Female,52,77,41
Male,43,48,84
Female,22,28,42
Male,18,43,22
Female,25,46,67
Female,50,35,62
Male,34,102,100
Male,39,97,24
Female,20,102,59
Male,50,65,60
Female,18,67,77
Male,29,43,63
Male,44,38,42
Female,23,61,22
Male,47,77,59
Female,26,91,59
Male,21,46,66
Male,56,27,42
Female,41,79,57
Male,46,15,10
Male,53,59,23
Female,18,62,74
Female,47,50,54
Male,28,19,62
Female,30,50,34
Female,44,103,31
Male,33,76,39
Male,47,91,56
Female,38,28,67
Male,41,67,43
Female,32,62,7
Female,23,63,60
Male,28,75,57
Female,37,64,62
Male,64,29,72
Female,59,76,70
Female,29,82,85
Male,39,95,50
Male,34,96,39
Male,40,73,77
Female,42,30,73
Male,46,20,44
Female,18,54,78
Female,43,84,52
Female,33,83,83
Female,29,67,94
Male,49,59,100
Female,59,110,51
Male,48,75,86
Male,31,58,72
Female,23,43,74
Female,18,34,61
Female,41,31,74
Female,46,34,14
Female,37,67,49
Male,51,60,33
Female,20,51,31
Male,36,79,13
Female,35,108,36
Male,37,38,45
Male,55,42,54
Female,37,15,49
Female,34,59,77
Female,25,57,27
Male,57,84,1
Male,18,58,63
Female,31,45,48
Female,62,65,48
Female,45,75,31
Male,38,18,73
Male,39,87,39
Female,25,94,27
Male,37,74,93
Female,33,36,68
Male,41,51,49
Female,18,91,1
Female,44,34,44
Female,53,77,49
Male,36,59,87
Female,47,64,5
Male,43,38,90
Female,30,69,61
Male,24,67,19
Female,26,20,74
Female,42,60,43
Male,38,76,7
Male,56,50,38
Male,49,15,56
Female,49,57,51
Female,42,99,66
Male,25,51,78
Female,43,98,21
Male,39,39,49
Female,22,30,34
Female,55,60,17
Male,54,38,48
Female,22,69,61
Male,29,50,62
Female,31,99,39
Male,47,48,24
Female,45,62,33
Female,39,76,1
Female,42,85,19
Male,20,99,21
Female,44,54,72
Female,37,50,72
Female,29,15,100
Female,18,114,56
Female,39,70,37
Female,43,80,50
Male,18,75,45
Male,39,61,33
Male,40,69,58
Male,31,45,55
Female,44,52,48
Female,36,35,42
Male,42,101,66
Male,46,75,35
Female,46,112,39
Female,53,120,62
Male,43,23,76
Female,32,86,73
Male,29,24,43
Male,23,65,17
Female,40,68,42
Female,57,26,52
Female,33,41,21
Male,45,70,42
Female,28,65,81
Male,41,33,54
Male,56,42,36
Female,48,21,50
Female,18,28,52
Male,46,50,40
Female,47,86,70
Male,41,89,2
Male,48,108,62
Female,27,71,35
Female,39,65,77
Male,54,73,17
Female,53,73,74
Male,46,18,29
Male,26,110,58
Male,24,15,38
Female,40,90,79
Female,41,62,45
Female,37,31,31
Male,27,74,86
Female,44,57,42
Female,40,42,63
Female,42,24,74
Female,47,22,27
Male,35,44,61
Male,32,50,64
Male,54,28,10
Male,28,61,58
Male,32,32,41
Female,56,70,92
Female,31,92,72
Male,37,68,61
Male,33,58,1
Female,18,46,61
Female,37,98,30
Female,24,55,72
Female,42,125,46
Male,54,29,36
Female,18,68,38
Female,33,97,40
Female,45,42,15
Female,18,54,18
Female,57,77,41
Female,44,70,90
Female,53,75,68
Female,30,91,70
Female,32,51,81
Male,36,98,57
Female,68,15,38
Female,57,88,39
Female,40,90,28
Female,42,40,71
Male,47,22,26
Female,70,54,100
Male,44,71,26
Male,39,51,81
Male,34,73,81
Female,42,111,66
Female,30,24,92
Male,45,15,45
Male,18,58,53
Male,35,42,55
Male,49,47,65
Female,44,93,3
Male,32,57,47
Male,35,59,72
Female,53,49,40
Female,21,59,100
Male,22,67,53
Male,25,133,63
Male,38,67,90
Female,19,91,53
Female,52,65,89
Male,25,15,65
Male,41,45,65
Male,30,67,27
Female,37,79,78
Female,18,66,34
Female,52,84,45
Male,25,22,82
Female,23,61,40
Male,70,95,59
Male,46,35,48
Male,52,89,49
Male,45,88,46
Female,32,28,23
Female,20,69,64
Male,34,64,66
Male,25,55,35
Female,26,20,38
Female,18,53,73
Male,40,56,43
Female,60,15,52
Female,46,26,27
Female,37,36,48
Male,38,33,27
Female,18,69,34
Female,32,84,30
Female,18,52,72
Female,40,80,15
Female,35,85,57
Female,26,58,44
Female,40,71,86
Female,40,54,70
Female,60,31,18
Male,48,40,35
Male,41,69,49
Female,25,57,35
Female,23,79,73
Female,47,15,54
Female,36,17,45
Male,42,20,75
Female,52,64,19
Male,18,24,43
Male,58,68,56
Male,52,80,46
Female,18,100,1
Female,70,97,58
Female,43,42,63
Female,32,16,24
Male,46,43,1
Female,25,86,32
Female,46,50,44
Female,27,59,47
Female,67,45,1
Male,39,102,55
Female,47,33,76
Male,27,62,74
Female,50,89,81
Male,38,108,18
Male,19,42,72
Male,35,85,26
Female,65,43,70
Female,50,96,31
Female,33,105,59
Male,18,37,89
Female,27,77,74
Male,19,89,26
Female,18,52,20
Female,49,74,70
Female,39,76,84
Female,63,113,61
Female,24,15,36
Female,38,59,51
Female,19,27,61
Male,30,60,47
Male,35,39,26
Male,33,53,77
Female,39,37,98
Male,52,64,87
Female,50,88,1
Female,28,50,80
Female,38,98,65
Female,49,87,33
Female,53,113,1
Male,29,71,47
Female,48,58,59
Female,43,18,21
Female,23,40,82
Male,50,55,81
Male,40,58,62
Female,18,122,14
Male,34,55,43
Male,39,15,68
Female,30,78,67
Male,56,76,32
Female,56,48,35
Female,33,116,31
Female,31,15,42
Female,37,93,37
Female,36,52,32
Female,30,35,46
Male,18,123,51
Male,63,79,78
Male,38,52,4
Female,36,52,81
Male,43,67,30
Female,37,48,98
Female,32,94,67
Female,24,62,64
Female,18,87,47
Female,19,66,100
Male,23,83,49
Female,47,95,89
Male,48,104,35
Female,26,73,68
Male,18,37,99
Male,38,56,28
Male,32,59,62
Female,32,45,31
Female,52,41,61
Male,40,65,99
Female,25,34,26
Male,21,29,54
Female,35,16,28
Male,26,73,46
Female,37,69,66
Female,53,52,42
Female,19,86,90
Female,40,34,62
Female,51,70,16
Female,37,61,58
Male,48,41,87
Male,34,47,64
Male,41,45,56
Male,45,67,42
Male,30,76,47
Female,66,49,50
Male,46,41,1
Male,57,64,62
Female,53,17,75
Male,43,61,30
Male,58,101,56
Female,41,42,59
Female,28,55,71
Male,39,87,50
Female,24,80,64
Female,18,62,20
Female,26,59,24
Male,39,28,61
Female,53,73,44
Female,26,25,9
Female,52,15,59
Male,21,87,17
Male,26,70,100
Female,59,83,1
Male,39,41,51
Male,36,72,21
Male,42,49,73
Female,21,51,39
Female,34,86,76
Female,38,56,70
Male,56,42,22
Female,18,24,31
Female,63,70,41
Female,37,88,48
Female,23,39,45
Male,20,78,69
Female,42,35,56
Male,20,80,34
Female,31,61,26
Female,35,67,29
Male,54,42,58
Female,53,69,45
Male,29,44,100
Male,35,49,50
Female,18,20,55
Male,18,40,3
Female,21,46,15
Female,54,68,21
Male,49,76,36
Female,44,44,11
Male,18,56,20
Male,28,104,67
Female,26,64,27
Female,36,46,49
Female,35,16,65
Male,24,38,74
Female,43,37,57
Female,42,112,59
Female,28,38,75
Female,43,61,60
Female,54,70,76
Female,58,89,1
Female,45,60,48
Female,45,47,51
Female,35,45,47
Male,53,69,53
Male,23,42,39
Male,51,31,70
Female,34,47,36
Male,59,25,44
Female,47,109,87
Female,37,76,83
Female,35,103,54
Female,46,73,33
Male,45,100,7
Female,33,70,46
Female,40,79,63
Female,51,15,31
Female,19,36,50
Male,48,61,41
Female,46,62,5
Male,55,58,53
Female,28,72,61
Male,38,73,54
Male,41,83,91
Male,49,78,41
Female,44,92,39
Female,21,92,100
Female,42,65,17
Female,66,115,34
Female,47,96,59
Female,61,39,79
Male,53,70,74
Female,57,15,23
Male,43,16,92
Female,46,47,62
Female,42,37,29
Female,38,47,31
Male,49,69,52
Female,31,92,100
Female,65,91,55
Female,25,71,100
Female,50,32,72
Female,58,45,17
Male,36,77,86
Female,23,38,25
Female,54,27,34
Female,41,73,57
Male,50,59,49
Female,37,55,73
Female,63,89,63
Female,18,89,47
Female,44,107,94
Female,57,43,37
Female,40,71,24
Female,43,61,62
Male,32,69,49
Female,39,30,56
Male,18,23,69
Female,28,59,45
Female,27,38,98
Male,48,85,57
Male,30,21,38
Male,31,23,65
Male,33,49,47
Female,28,20,53
Female,42,104,21
Female,44,55,24
Male,50,44,77
Male,47,72,18
Male,46,83,47
Female,34,65,58
Female,33,58,86
Male,26,34,37
Female,26,77,69
Male,41,97,47
Female,28,54,1
Male,59,38,51
Male,38,65,48
Male,59,60,61
Male,46,28,33
Female,27,47,36
Male,37,107,81
Male,18,25,41
Male,41,42,1
Female,29,35,62
Male,23,37,72
Female,60,48,72
Male,53,72,34
Female,52,94,50
Female,49,65,63
Female,21,42,75
Female,33,101,63
Male,34,15,70
Male,18,78,31
Male,31,33,1
Female,31,59,77
Male,40,75,25
Male,70,18,45
Female,38,64,71
Female,40,66,50
Female,35,98,68
Male,49,131,100
Female,23,19,64
Male,65,97,31
Male,37,59,12
Female,33,39,67
Female,52,70,52
Female,26,26,14
Female,48,27,80
Female,58,15,68
Female,35,74,49
Female,67,69,100
Male,47,39,76
Female,48,100,24
Female,57,43,80
Female,61,94,56
Female,42,63,99
Male,49,42,74
Male,58,57,62
Female,22,27,61
Male,18,66,19
Male,38,61,36
Female,18,74,55
Female,34,83,14
Female,43,63,62
Female,34,21,31
Female,36,85,40
Male,24,60,68
Male,49,15,35
Female,23,68,62
Female,18,70,53
Female,35,51,22
Male,51,55,72
Male,39,44,74
Female,22,71,75
Male,40,64,99
Female,44,36,39
Male,40,103,1
Male,35,43,33
Female,45,15,74
Female,18,48,48
Female,26,87,13
Female,20,55,6
Female,57,17,86
Female,48,33,65
Female,41,32,37
Female,18,45,98
Female,49,53,100
Female,58,73,76
Female,46,63,69
Male,38,65,63
Male,47,107,72
Female,42,83,100
Female,51,80,25
Male,51,15,41
Male,35,40,48
Male,29,18,65
Female,33,40,90
Male,46,81,60
Male,34,50,66
Female,28,88,67
Male,38,78,50
Male,54,61,39
Female,40,89,52
Female,34,96,33
Female,43,72,33
Male,40,66,59
Male,18,77,37
Male,48,23,97
Male,44,57,53
Male,39,59,85
Male,53,50,18
Female,55,39,18
Female,50,86,47
Female,26,65,74
Female,27,67,37
Male,54,97,47
Female,18,55,76
Male,36,50,40
Male,44,96,30
Male,18,21,68
Male,42,61,16
Male,52,41,40
Female,18,68,53
Male,62,75,63
Female,24,77,71
Female,46,87,75
Female,37,53,42
Female,39,55,74
Female,20,74,63
Female,56,83,68
Female,43,26,33
Female,61,68,67
Female,21,50,46
Female,36,62,51
Female,41,51,54
Male,39,41,100
Female,48,33,26
Female,36,56,80
Female,68,69,87
Male,39,44,71
Male,18,91,36
Male,40,125,94
Male,56,71,41
Female,25,59,67
Male,25,36,53
Female,27,70,40
Male,23,99,64
Female,32,111,98
Female,51,97,56
Female,60,82,100
Male,18,71,45
Female,33,33,52
Female,43,57,18
Male,41,54,35
Female,65,58,44
Male,18,41,41
Male,18,80,25
Female,67,53,30
Male,49,51,42
Male,30,41,80
Male,41,66,11
Female,42,99,1
Female,30,60,4
Female,40,67,28
Male,43,111,66
Male,67,92,40
Female,52,75,40
Male,63,74,40
Female,20,44,1
Male,33,42,72
Female,42,64,84
Female,18,64,41
Male,55,38,52
Male,47,79,53
Female,33,53,22
Female,36,90,38
Male,56,59,96
Male,27,56,50
Female,56,35,55
Female,35,38,32
Male,49,95,39
Male,40,67,66
Female,70,70,28
Male,26,102,92
Female,30,25,8
Male,18,78,33
Male,23,18,11
Female,48,49,84
Male,61,30,49
Male,50,83,42
Male,38,15,60
Female,26,54,86
Male,51,30,55
Male,25,38,79
Male,20,42,42
Female,34,95,25
Female,18,51,56
Male,19,105,32
Female,65,111,67
Female,18,116,39
Female,22,59,48
Female,39,66,1
Female,40,70,46
Male,35,50,43
Male,18,71,80
Male,50,35,72
Female,32,15,50
Female,55,79,8
Female,29,51,38
Female,52,34,80
Male,56,38,45
Male,32,100,22
Male,51,72,79
Male,20,20,8
Male,42,29,47
Female,55,52,64
Female,46,73,53
Male,70,39,18
Male,46,56,26
Female,33,63,32
Male,70,64,70
Male,61,15,54
Female,18,66,40
Female,27,15,60
Male,24,53,30
Male,47,47,69
Female,46,32,61
Male,46,82,44
Male,18,31,46
Female,29,46,41
Female,36,83,75
Female,18,46,55
Female,26,40,44
Male,57,53,25
Female,18,74,65
Male,59,98,64
Male,54,35,36
Male,34,38,39
Male,29,53,47
Male,50,66,20
Male,27,40,52
Female,28,78,7
Female,38,36,17
Female,18,15,37
Male,18,74,33
Male,34,77,61
Male,45,87,57
Male,27,15,85
Male,36,43,52
Male,18,53,55
Female,51,106,20
Male,41,56,20
Male,43,25,51
Female,45,68,52
Male,39,94,57
Female,32,89,82
Female,54,75,21
Female,41,67,93
Male,36,15,11
Female,38,61,59
Female,38,65,18
Male,36,56,68
Female,45,79,11
Male,25,55,1
Female,26,50,53
Male,46,87,46
Female,36,49,78
Male,52,62,52
Female,44,84,30
Female,31,34,36
Female,46,31,100
Male,55,96,27
Female,45,44,63
Female,48,78,60
Female,36,15,64
Female,52,15,62
Female,30,70,43
Male,43,57,4
Male,70,70,54
Female,46,109,49
Female,32,28,53
Female,32,61,64
Female,37,99,39
Male,50,31,34
Female,40,45,73
Female,29,15,41
Female,29,119,37
Female,40,15,35
Female,39,81,65
Male,45,25,44
Female,51,32,100
Female,70,88,51
Female,18,41,19
Female,48,77,38
Female,40,96,67
Female,18,65,34
Female,56,83,49
Female,44,62,75
Male,50,63,79
Male,18,43,36
Female,35,111,43
Male,23,80,52
Female,69,74,84
Female,54,80,21
Male,29,42,59
Male,18,85,51
Female,41,101,27
Female,54,24,82
Male,18,74,75
Male,25,62,89
Male,23,46,80
Male,50,31,50
Female,33,88,66
Male,34,66,58
Female,41,55,26
Male,26,74,16
Male,18,57,59
Female,57,42,52
Female,59,63,41
Female,41,59,47
Female,42,15,95
Female,56,44,1
Female,41,27,66
Female,32,17,71
Female,39,72,75
Female,58,42,14
Male,39,87,42
Female,29,15,41
Female,40,52,57
Female,48,44,21
Female,46,19,59
Female,46,60,27
Female,27,21,42
Male,49,66,84
Male,39,79,71
Male,28,67,53
Male,49,70,14
Male,32,87,58
Female,18,59,60
Male,24,38,1
Male,36,44,59
Female,46,45,22
Female,26,33,11
Male,35,81,21
Female,21,74,1
Male,52,16,39
Female,62,38,24
Female,61,31,79
Female,52,68,40
Male,50,88,31
Female,18,72,9
Female,41,42,39
Male,31,52,85
Male,51,23,90
Male,18,25,40
Female,41,82,48
Female,35,98,68
Female,54,41,23
Female,60,61,59
Female,25,79,100
Female,26,16,69
Male,42,33,69
Female,63,112,84
Male,39,35,73
Female,20,51,43
Female,30,44,19
Male,41,15,46
Male,42,62,25
Female,29,59,42
Male,30,65,27
Male,25,58,40
Female,54,48,11
Female,27,46,32
Male,32,47,60
Female,31,34,67
Female,18,38,61
Male,26,35,40
Male,56,75,53
Female,21,68,100
Female,25,61,31
Male,20,111,91
Male,37,36,12
Male,65,89,6
Female,36,53,46
Female,39,64,49
Female,27,78,21
Female,37,48,41
Female,56,32,60
Male,40,37,25
Female,68,15,76
Female,56,76,79
Male,37,75,82
Female,37,102,26
Female,61,71,30
Female,40,77,45
Female,58,58,43
Female,66,72,41
Male,35,89,69
Female,43,65,65
Male,52,46,27
Male,49,54,20
Female,49,80,18
Female,20,47,27
Male,26,83,72
Female,31,110,53
Female,55,84,74
Male,21,80,6
Female,60,69,57
Male,49,40,56
Female,54,37,81
Female,25,37,39
Male,39,75,37
Female,43,50,89
Male,42,59,45
Male,42,71,54
Male,34,38,62
Female,40,47,7
Male,53,69,51
Female,22,52,18
Male,60,55,47
Male,52,33,42
Female,25,55,37
Female,44,103,66
Male,51,48,52
Male,21,30,22
Female,39,85,21
Female,37,74,71
Male,29,66,49
Female,40,25,13
Male,30,29,39
Female,58,20,46
Male,30,71,18
Female,49,87,33
Female,18,72,73
Female,36,111,100
Male,39,48,58
Female,36,52,15
Female,33,63,44
Female,29,54,53
Female,49,73,70
Male,52,43,71
Female,37,23,85
Male,23,15,50
Female,63,73,50
Male,26,46,1
Female,18,29,24
Female,18,44,15
Male,40,111,28
Male,35,31,20
Male,53,79,22
Male,47,71,78
Male,42,95,1
Male,35,57,45
Female,54,19,72
Female,64,86,42
Male,52,53,84
Male,32,94,34
Male,49,81,95
Male,33,86,9
Male,23,122,84
Female,26,67,27
Male,33,98,87
Female,40,49,38
Male,67,74,78
Male,26,47,83
Female,57,73,35
Male,34,70,76
Female,18,15,49
Male,31,44,12
Female,55,66,63
Male,43,15,23
Female,44,58,33
Male,57,87,27
Male,24,94,59
Female,24,40,24
Female,18,96,18
Female,51,92,23
Female,46,15,31
Female,48,63,63
Female,22,66,73
Female,18,100,73
Female,20,68,49
Male,25,97,48
Male,60,40,45
Female,52,18,61
Female,32,43,79
Female,43,101,46
Female,29,84,63
Male,43,121,18
Female,22,22,72
Male,49,87,55
Male,26,80,23
Male,50,53,77
Male,32,80,18
Female,27,64,1
Female,61,72,72
Female,41,78,60
Male,34,86,18
Male,49,62,59
Male,20,107,80
Female,54,54,56
Female,36,110,100
Female,47,30,28
Female,18,34,1
Female,33,36,13
Female,38,85,1
Male,53,39,100
Male,48,99,50
Male,33,46,100
Female,43,71,41
Male,56,77,26
Male,36,33,5
Female,34,24,39
Female,18,67,72
Female,34,53,44
Male,18,73,8
Male,37,25,67
Female,52,51,71
Male,18,55,36
Female,56,15,33
Female,34,86,6
Female,38,40,66
Female,31,99,38
Female,18,42,1
Male,27,46,11
Female,68,27,64
Female,23,90,41
Female,18,72,20
Female,40,97,51
Female,37,55,28
Male,34,59,33
Male,39,16,43
Male,47,44,93
Female,30,65,93
Male,41,70,1
Female,53,108,48
Female,24,15,12
